tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,text,tweet_coord,tweet_created,tweet_location,user_timezone,favorite,retweet
570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,@VirginAmerica What @dhepburn said.,,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada),6708,4927
570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,@VirginAmerica plus you've added commercials to the experience... tacky.,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada),1387,7477
570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada),3746,2123
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada),9244,4077
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,@VirginAmerica and it's a really big bad thing about it,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada),9680,6288
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada),3702,1457
570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada),1113,6480
570300248553349120,neutral,0.634,,,Virgin America,,pilot,,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada),750,6411
570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,"@virginamerica Well, I didn't…but NOW I DO! :-D",,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada),8448,4268
570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada),1912,774
570294189143031808,neutral,0.6769,,0.0,Virgin America,,idk_but_youtube,,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada),2451,3756
570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,2015-02-24 10:30:40 -0800,NYC,America/New_York,1350,2177
570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,2015-02-24 10:30:06 -0800,NYC,America/New_York,8761,5416
570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,2015-02-24 10:21:28 -0800,,Eastern Time (US & Canada),5208,7842
570285904809598977,positive,1.0,,,Virgin America,,sjespers,,@VirginAmerica Thanks!,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada),1162,8119
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,@VirginAmerica SFO-PDX schedule is still MIA.,,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada),1030,8044
570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada),9726,2447
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heatherovieda,,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada),4731,8311
570270684619923457,positive,1.0,,,Virgin America,,thebrandiray,,I ❤️ flying @VirginAmerica. ☺️👍,,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada),8685,7397
570267956648792064,positive,1.0,,,Virgin America,,JNLpierce,,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito,4258,1756
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,2015-02-24 08:55:56 -0800,,,7590,6716
570264145116819457,positive,1.0,,,Virgin America,,DT_Les,,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,,,9362,9588
570259420287868928,positive,1.0,,,Virgin America,,ElvinaBeck,,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada),3237,5227
570258822297579520,neutral,1.0,,,Virgin America,,rjlynch21086,,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,2015-02-24 08:27:52 -0800,"Boston, MA ",Eastern Time (US & Canada),1735,8681
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada),8060,7772
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,2015-02-24 07:49:15 -0800,,,3047,5145
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,,meredithjlynn,,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2015-02-24 07:11:37 -0800,,,9379,4784
570217831557677057,neutral,0.6854,,,Virgin America,,AdamSinger,,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada),4654,5955
